seed,target_fraction,phase_epoch,checkpoint_path,weak_only_accuracy,weak_only_loss,gap_mean,ci_lower,ci_upper,standard_error,effective_alpha,n_examples,ci_crossing
83,0.99,172,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_172.pth",0.813,0.9351966997783816,-0.0038490263905488617,-0.03132283060672963,0.023624777825631906,0.007846703371697204,0.00046296296296296336,5000,False
83,0.99,176,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_176.pth",0.8154,0.9250082973607464,-0.0010274886524816139,-0.02824464920676989,0.026189671901806662,0.0077734042147529865,0.00046296296296296336,5000,False
83,0.99,180,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_180.pth",0.8172,0.9833943697418178,0.0010886646510688196,-0.026252240773642768,0.028429570075780407,0.007808746582498658,0.00046296296296296336,5000,False
83,0.99,184,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_184.pth",0.8164,0.9470258405136155,0.00014815207171307065,-0.02721757802348155,0.027513882166907692,0.007815836675448573,0.00046296296296296336,5000,False
83,0.99,188,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_188.pth",0.8204,0.9393752608172816,0.004850714968491814,-0.022372447372304826,0.03207387730928846,0.007775118365369364,0.00046296296296296336,5000,False
83,0.99,192,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_192.pth",0.814,0.9390616193081801,-0.0026733856663541757,-0.029923112080718763,0.02457634074801041,0.007782705243545807,0.00046296296296296336,5000,False
83,0.99,196,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_196.pth",0.8196,0.9614376080625114,0.003910202389136066,-0.023261737362428155,0.031082142140700285,0.007760488849177341,0.00046296296296296336,5000,False
83,0.99,200,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_200.pth",0.8198,0.9791780684948768,0.004145330533975001,-0.023044480545558625,0.03133514161350863,0.00776559302071219,0.00046296296296296336,5000,False
83,1.0,0,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_pre_intervention.pth",0.2596,5.052744558971103,-0.661059195110998,-0.6941058607151003,-0.6280125295068957,0.009438350087183769,0.00046296296296296336,5000,False
83,1.0,1,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_1.pth",0.5052,1.4080390739821915,-0.3723218332487831,-0.40608430795035005,-0.33855935854721614,0.009642789982524493,0.00046296296296296336,5000,False
